reference,EU_ReferenceScenario_2020,EU27 & UK,Primary Energy|Wind,EJ/yr,0.2432,N/A,N/A,N/A,N/A,0.5007,N/A,N/A,N/A,N/A,0.9468,N/A,N/A,N/A,N/A,1.4002,2.197,3.1552,3.7282,4.1247,4.6426,4.8625,NA
reference,EU_ReferenceScenario_2020,EU27,Secondary Energy|Electricity,EJ/yr,10.4204,N/A,N/A,N/A,N/A,10.6352,N/A,N/A,N/A,N/A,10.344,N/A,N/A,N/A,N/A,9.4979,10.1459,10.7844,11.2036,11.5659,11.9524,12.3144,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Secondary Energy|Electricity,EJ/yr,10.4204,N/A,N/A,N/A,N/A,10.6352,N/A,N/A,N/A,N/A,10.344,N/A,N/A,N/A,N/A,9.4979,10.1459,10.7844,11.2036,11.5659,11.9524,12.3144,NA
reference,EU_ReferenceScenario_2020,EU27,Secondary Energy|Electricity|Biomass,EJ/yr,0.2742,N/A,N/A,N/A,N/A,0.4768,N/A,N/A,N/A,N/A,0.6238,N/A,N/A,N/A,N/A,0.6337,0.6318,0.6197,0.6313,0.6933,0.6815,0.7464,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Secondary Energy|Electricity|Biomass,EJ/yr,0.2742,N/A,N/A,N/A,N/A,0.4768,N/A,N/A,N/A,N/A,0.6238,N/A,N/A,N/A,N/A,0.6337,0.6318,0.6197,0.6313,0.6933,0.6815,0.7464,NA
reference,EU_ReferenceScenario_2020,EU27,Secondary Energy|Electricity|Coal,EJ/yr,2.9913,N/A,N/A,N/A,N/A,2.6017,N/A,N/A,N/A,N/A,2.5576,N/A,N/A,N/A,N/A,1.4023,1.1877,0.9714,0.5819,0.1377,0.0481,0.0465,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Secondary Energy|Electricity|Coal,EJ/yr,2.9913,N/A,N/A,N/A,N/A,2.6017,N/A,N/A,N/A,N/A,2.5576,N/A,N/A,N/A,N/A,1.4023,1.1877,0.9714,0.5819,0.1377,0.0481,0.0465,NA
reference,EU_ReferenceScenario_2020,EU27,Secondary Energy|Electricity|Gas,EJ/yr,1.9858,N/A,N/A,N/A,N/A,2.2388,N/A,N/A,N/A,N/A,1.5344,N/A,N/A,N/A,N/A,1.7836,1.8204,1.5595,1.6726,1.8125,1.5727,1.652,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Secondary Energy|Electricity|Gas,EJ/yr,1.9858,N/A,N/A,N/A,N/A,2.2388,N/A,N/A,N/A,N/A,1.5344,N/A,N/A,N/A,N/A,1.7836,1.8204,1.5595,1.6726,1.8125,1.5727,1.652,NA
reference,EU_ReferenceScenario_2020,EU27,Secondary Energy|Electricity|Geothermal,EJ/yr,0.0212,N/A,N/A,N/A,N/A,0.0219,N/A,N/A,N/A,N/A,0.0252,N/A,N/A,N/A,N/A,0.0255,0.0257,0.0263,0.0263,0.0336,0.0579,0.06,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Secondary Energy|Electricity|Geothermal,EJ/yr,0.0212,N/A,N/A,N/A,N/A,0.0219,N/A,N/A,N/A,N/A,0.0252,N/A,N/A,N/A,N/A,0.0255,0.0257,0.0263,0.0263,0.0336,0.0579,0.06,NA
reference,EU_ReferenceScenario_2020,EU27,Secondary Energy|Electricity|Hydro,EJ/yr,1.1068,N/A,N/A,N/A,N/A,1.34,N/A,N/A,N/A,N/A,1.2197,N/A,N/A,N/A,N/A,1.2113,1.3015,1.3025,1.3069,1.3105,1.3254,1.3255,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Secondary Energy|Electricity|Hydro,EJ/yr,1.1068,N/A,N/A,N/A,N/A,1.34,N/A,N/A,N/A,N/A,1.2197,N/A,N/A,N/A,N/A,1.2113,1.3015,1.3025,1.3069,1.3105,1.3254,1.3255,NA
reference,EU_ReferenceScenario_2020,EU27,Secondary Energy|Electricity|Nuclear,EJ/yr,3.2979,N/A,N/A,N/A,N/A,3.0761,N/A,N/A,N/A,N/A,2.829,N/A,N/A,N/A,N/A,2.4325,2.0651,1.8679,1.717,1.6411,1.5248,1.4535,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Secondary Energy|Electricity|Nuclear,EJ/yr,3.2979,N/A,N/A,N/A,N/A,3.0761,N/A,N/A,N/A,N/A,2.829,N/A,N/A,N/A,N/A,2.4325,2.0651,1.8679,1.717,1.6411,1.5248,1.4535,NA
reference,EU_ReferenceScenario_2020,EU27,Secondary Energy|Electricity|Solar,EJ/yr,0.0052,N/A,N/A,N/A,N/A,0.0836,N/A,N/A,N/A,N/A,0.3636,N/A,N/A,N/A,N/A,0.5096,0.8761,1.2574,1.5178,1.7943,2.0881,2.1588,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Secondary Energy|Electricity|Solar,EJ/yr,0.0052,N/A,N/A,N/A,N/A,0.0836,N/A,N/A,N/A,N/A,0.3636,N/A,N/A,N/A,N/A,0.5096,0.8761,1.2574,1.5178,1.7943,2.0881,2.1588,NA
reference,EU_ReferenceScenario_2020,EU27,Secondary Energy|Electricity|Wind,EJ/yr,0.2432,N/A,N/A,N/A,N/A,0.5008,N/A,N/A,N/A,N/A,0.9467,N/A,N/A,N/A,N/A,1.3999,2.1966,3.1547,3.7275,4.124,4.6417,4.8616,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Secondary Energy|Electricity|Wind,EJ/yr,0.2432,N/A,N/A,N/A,N/A,0.5008,N/A,N/A,N/A,N/A,0.9467,N/A,N/A,N/A,N/A,1.3999,2.1966,3.1547,3.7275,4.124,4.6417,4.8616,NA
reference,EU_ReferenceScenario_2020,EU27,Secondary Energy|Electricity|Wind|Offshore,EJ/yr,0.2377,N/A,N/A,N/A,N/A,0.4818,N/A,N/A,N/A,N/A,0.8843,N/A,N/A,N/A,N/A,1.2297,1.7862,2.4244,2.7853,3.0222,3.4004,3.5664,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Secondary Energy|Electricity|Wind|Offshore,EJ/yr,0.2377,N/A,N/A,N/A,N/A,0.4818,N/A,N/A,N/A,N/A,0.8843,N/A,N/A,N/A,N/A,1.2297,1.7862,2.4244,2.7853,3.0222,3.4004,3.5664,NA
reference,EU_ReferenceScenario_2020,EU27,Secondary Energy|Electricity|Wind|Onshore,EJ/yr,0.0055,N/A,N/A,N/A,N/A,0.019,N/A,N/A,N/A,N/A,0.0623,N/A,N/A,N/A,N/A,0.1702,0.4104,0.7303,0.9422,1.1018,1.2413,1.2952,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Secondary Energy|Electricity|Wind|Onshore,EJ/yr,0.0055,N/A,N/A,N/A,N/A,0.019,N/A,N/A,N/A,N/A,0.0623,N/A,N/A,N/A,N/A,0.1702,0.4104,0.7303,0.9422,1.1018,1.2413,1.2952,NA
reference,EU_ReferenceScenario_2020,EU27,Trade|Primary Energy|Coal|Volume,EJ/yr,-4.1047,N/A,N/A,N/A,N/A,-3.9265,N/A,N/A,N/A,N/A,-4.1126,N/A,N/A,N/A,N/A,-2.4998,-2.3884,-1.8383,-1.4083,-0.8578,-0.7379,-0.6727,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Trade|Primary Energy|Coal|Volume,EJ/yr,-4.1047,N/A,N/A,N/A,N/A,-3.9265,N/A,N/A,N/A,N/A,-4.1126,N/A,N/A,N/A,N/A,-2.4998,-2.3884,-1.8383,-1.4083,-0.8578,-0.7379,-0.6727,NA
reference,EU_ReferenceScenario_2020,EU27,Trade|Primary Energy|Gas|Volume,EJ/yr,-10.3891,N/A,N/A,N/A,N/A,-10.2931,N/A,N/A,N/A,N/A,-9.2067,N/A,N/A,N/A,N/A,-10.1788,-10.7957,-9.6289,-9.5313,-9.6093,-9.1394,-9.3374,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Trade|Primary Energy|Gas|Volume,EJ/yr,-10.3891,N/A,N/A,N/A,N/A,-10.2931,N/A,N/A,N/A,N/A,-9.2067,N/A,N/A,N/A,N/A,-10.1788,-10.7957,-9.6289,-9.5313,-9.6093,-9.1394,-9.3374,NA
reference,EU_ReferenceScenario_2020,EU27,Trade|Primary Energy|Oil|Volume,EJ/yr,-25.3883,N/A,N/A,N/A,N/A,-23.0541,N/A,N/A,N/A,N/A,-21.5201,N/A,N/A,N/A,N/A,-17.1778,-18.9464,-17.2879,-15.9644,-14.9591,-14.1875,-13.5757,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Trade|Primary Energy|Oil|Volume,EJ/yr,-25.3883,N/A,N/A,N/A,N/A,-23.0541,N/A,N/A,N/A,N/A,-21.5201,N/A,N/A,N/A,N/A,-17.1778,-18.9464,-17.2879,-15.9644,-14.9591,-14.1875,-13.5757,NA
reference,Eurostat,EU27,Emissions|CH4,Mt CH4/yr,18.3114,17.9784,17.8291,17.5304,17.234,16.9996,16.7007,16.6317,16.3468,16.1229,16.1479,15.9792,16.0379,15.7025,15.4052,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|CH4,Mt CH4/yr,21.8949,21.3915,21.0919,20.5634,20.096,19.677,19.2708,19.1415,18.6931,18.3906,18.3806,18.1431,18.2212,17.874,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|CH4|AFOLU|Land,Mt CH4/yr,0.2985,0.2722,0.32,0.2599,0.2716,0.2794,0.2806,0.3069,0.2503,0.252,0.2553,0.2619,0.369,0.2549,0.2605,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|CH4|AFOLU|Land,Mt CH4/yr,0.4889,0.4625,0.5109,0.4506,0.4623,0.4709,0.4728,0.4987,0.4425,0.4436,0.448,0.4548,0.5617,0.4495,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|CO2,Mt CO2/yr,3671.7648,3679.9275,3698.0972,3572.5996,3244.104,3360.0341,3266.4367,3172.6567,3083.9602,2965.6388,3028.9824,3047.2558,3119.4792,3051.9528,2929.6563,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|CO2,Mt CO2/yr,4285.5894,4292.0609,4301.267,4163.5958,3782.4723,3913.2495,3779.2947,3701.0435,3602.5567,3446.2757,3492.9163,3488.4363,3551.3103,3476.6597,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|CO2|AFOLU,Mt CO2/yr,-332.8394,-349.7684,-302.1676,-342.0375,-349.8813,-336.4565,-333.9343,-341.8136,-342.8917,-323.7728,-320.0967,-318.8701,-281.5353,-284.1241,-271.6241,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|CO2|AFOLU,Mt CO2/yr,-331.7268,-349.2842,-302.2362,-342.6662,-350.6755,-337.4666,-335.4486,-343.2387,-344.2047,-325.358,-321.3377,-320.4527,-283.4078,-285.5074,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|CO2|AFOLU|Land,Mt CO2/yr,-332.8394,-349.7684,-302.1676,-342.0375,-349.8813,-336.4565,-333.9343,-341.8136,-342.8917,-323.7728,-320.0967,-318.8701,-281.5353,-284.1241,-271.6241,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|CO2|AFOLU|Land,Mt CO2/yr,-331.7268,-349.2842,-302.2362,-342.6662,-350.6755,-337.4666,-335.4486,-343.2387,-344.2047,-325.358,-321.3377,-320.4527,-283.4078,-285.5074,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,4081.7471,4108.583,4019.4204,3974.0344,3688.4603,3776.7315,3675.008,3609.1148,3529.205,3374.0514,3423.8736,3429.2614,3415.9991,3344.793,3194.8923,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,4648.1209,4673.1248,4576.0764,4516.981,4181.1876,4287.4434,4143.9612,4095.926,4005.9698,3812.2305,3845.2129,3827.671,3803.5897,3723.885,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|CO2|Energy|Demand|Bunkers,Mt CO2/yr,246.7002,262.265,274.262,273.9316,246.7521,247.5134,250.5074,238.0557,230.8467,229.4038,235.6086,245.4434,256.6906,265.4454,268.6564,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|CO2|Energy|Demand|Bunkers,Mt CO2/yr,290.3166,307.3023,319.3104,321.6666,292.4778,290.5922,295.8764,281.1189,274.1555,273.5292,279.4167,290.0882,303.3956,312.5604,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,552.9902,543.6103,553.3418,533.1468,443.2982,474.9161,465.6884,447.3244,430.4431,416.3109,426.1472,430.2242,440.4365,441.86,429.6628,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,633.4964,622.412,630.3869,605.3518,505.4485,537.0088,523.1174,504.4999,488.0284,473.6513,481.137,481.9082,492.4483,492.5471,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2/yr,558.4242,559.3873,487.9593,531.0275,518.1642,549.7988,481.8566,490.2489,494.6203,422.3014,447.3172,455.7521,450.6028,435.6031,429.5161,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2/yr,664.0791,660.2812,584.1735,632.1406,612.6585,655.2317,567.1565,584.2864,590.1114,502.3257,530.9569,541.1741,533.4533,521.694,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,837.5852,845.8238,854.4191,835.4836,813.158,809.5522,799.2142,769.6579,764.4807,770.3668,784.5779,802.2367,816.4577,818.3767,824.8907,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,968.2903,976.0716,985.8863,961.6114,934.7013,929.3085,917.043,886.7027,880.314,887.718,904.4895,924.5831,938.9778,939.0991,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|CO2|Energy|Supply|Liquids,Mt CO2/yr,122.955,122.4213,123.733,121.5398,115.2731,114.4258,111.9037,108.9893,103.4116,101.6224,102.5363,102.8381,100.9865,99.8902,101.1179,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|CO2|Energy|Supply|Liquids,Mt CO2/yr,142.8447,140.4252,141.541,138.8051,131.7421,131.4088,129.28,124.753,118.0874,115.1067,116.0378,116.4324,114.5468,112.9387,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|CO2|Energy|Supply|Solids,Mt CO2/yr,62.5848,64.293,61.8145,58.0771,47.0266,54.6142,53.8851,44.155,41.5649,41.0716,39.2238,39.5367,38.8573,39.4687,38.0127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|CO2|Energy|Supply|Solids,Mt CO2/yr,82.352,83.224,79.8642,76.0511,64.3679,72.5624,70.0421,59.1792,56.3235,55.4948,54.2599,54.231,53.9388,53.9562,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|CO2|Industrial Processes,Mt CO2/yr,298.8579,304.8193,308.4605,288.7412,224.6905,246.6129,246.5957,232.7733,230.1661,235.4731,234.1095,235.7307,244.506,241.8289,236.7683,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|CO2|Industrial Processes,Mt CO2/yr,320.4169,325.4675,330.7215,309.1079,239.271,262.7384,261.6421,248.0103,247.2255,252.1096,250.2571,249.6825,258.9028,255.4634,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|CO2|Industry and Industrial Processes,Mt CO2/yr,552.9902,543.6103,553.3418,533.1468,443.2982,474.9161,465.6884,447.3244,430.4431,416.3109,426.1472,430.2242,440.4365,441.86,429.6628,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|CO2|Industry and Industrial Processes,Mt CO2/yr,633.4964,622.412,630.3869,605.3518,505.4485,537.0088,523.1174,504.4999,488.0284,473.6513,481.137,481.9082,492.4483,492.5471,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|CO2|Other Removal,Mt CO2/yr,2.6225,2.6145,2.5256,2.4235,2.2472,2.2868,2.1737,2.0818,1.9346,1.877,1.8687,1.8067,1.7905,1.6817,1.6338,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|CO2|Other Removal,Mt CO2/yr,2.6225,2.6145,2.5256,2.4235,2.2472,2.2868,2.1737,2.0818,1.9346,1.877,1.8687,1.8067,1.7905,1.6817,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|Kyoto Gases,Mt CO2e/yr,4874.0991,4864.897,4890.8913,4748.3215,4392.4784,4492.8223,4389.5329,4294.9991,4204.4335,4090.4813,4151.9135,4166.7503,4247.1221,4158.0297,4018.1422,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|Kyoto Gases,Mt CO2e/yr,5661.235,5644.4066,5657.3206,5495.6942,5081.4041,5193.5156,5044.9237,4964.4035,4860.3061,4707.9775,4751.0527,4740.7694,4812.0746,4714.139,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|Kyoto Gases|AFOLU|Land,Mt CO2e/yr,-310.836,-328.7242,-279.6906,-321.3665,-328.7882,-315.2058,-312.5953,-319.4004,-322.1775,-302.8212,-298.0331,-296.6355,-255.9813,-262.0038,-249.0671,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|Kyoto Gases|AFOLU|Land,Mt CO2e/yr,-302.5362,-321.1112,-272.6572,-314.9621,-322.6025,-309.2266,-307.1092,-313.8685,-316.533,-297.4951,-292.3461,-291.3051,-250.9676,-256.4482,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|Kyoto Gases|Energy,Mt CO2e/yr,3808.8042,3824.8725,3788.6961,3723.3192,3460.5308,3542.0244,3442.5002,3370.8186,3282.2789,3134.6435,3197.3866,3209.9523,3237.3955,3172.195,3038.7055,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|Kyoto Gases|Energy,Mt CO2e/yr,4412.0649,4427.2548,4380.324,4304.7427,3995.0828,4090.0802,3951.1384,3895.3301,3794.3416,3608.3012,3654.5837,3645.8416,3663.8633,3591.9224,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|Kyoto Gases|Industrial Processes,Mt CO2e/yr,435.9709,437.8531,446.7925,421.4112,347.4337,363.9799,363.3332,350.362,348.243,354.8849,347.7972,349.2885,357.4813,349.1432,339.7814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|Kyoto Gases|Industrial Processes,Mt CO2e/yr,475.838,476.9828,488.2724,461.091,380.4122,399.6741,395.515,382.8547,382.8214,389.1966,381.546,380.1517,387.9353,377.5468,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|Kyoto Gases|Other,Mt CO2e/yr,2.6225,2.6145,2.5256,2.4235,2.2472,2.2868,2.1737,2.0818,1.9346,1.877,1.8687,1.8067,1.7905,1.6817,1.6338,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|Kyoto Gases|Other,Mt CO2e/yr,2.6225,2.6145,2.5256,2.4235,2.2472,2.2868,2.1737,2.0818,1.9346,1.877,1.8687,1.8067,1.7905,1.6817,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|Kyoto Gases|Waste,Mt CO2e/yr,151.9273,149.1716,145.986,142.5353,140.6536,137.816,134.2083,131.2733,128.2274,124.4856,122.2564,119.6156,118.3694,116.8353,115.5145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|Kyoto Gases|Waste,Mt CO2e/yr,201.0834,195.0786,188.8254,180.9041,174.9813,167.5745,161.903,157.4913,151.5676,145.7136,143.0207,139.7699,138.8682,137.5838,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|N2O,kt N2O/yr,936.86,901.57,908.04,869.9,826.67,791.11,776.05,772.73,773.1,782.39,786.65,785.08,800.43,785.61,778.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|N2O,kt N2O/yr,1023.29,984.12,990.63,950.11,901.76,867.67,849.92,846.09,846.26,857.78,860.64,858.29,875.17,859.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Emissions|N2O|AFOLU|Land,kt N2O/yr,48.8,47.79,48.59,47.55,48,47.87,48.04,49.47,48.5,49.18,52.63,52.64,54.79,52.83,53.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Emissions|N2O|AFOLU|Land,kt N2O/yr,56.94,55.75,56.4,55.15,55.42,55.25,55.41,56.73,55.72,56.3,59.71,59.65,61.73,59.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Final Energy,EJ/yr,48.9692,49.3209,48.694,48.954,46.3186,48.1456,46.4674,46.1272,45.831,44.1629,44.8923,45.8067,46.7636,46.7293,46.5277,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Final Energy,EJ/yr,55.8106,56.0576,55.2702,55.5247,52.474,54.4971,52.3703,52.1182,51.8554,49.8996,50.7956,51.8103,52.7585,52.7729,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Final Energy|Bunkers,EJ/yr,3.2803,3.4772,3.6267,3.6291,3.2736,3.3002,3.3274,3.1809,3.0852,3.0524,3.0995,3.2513,3.3923,3.5296,3.5694,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Final Energy|Bunkers,EJ/yr,3.8799,4.0946,4.2436,4.2758,3.8857,3.8747,3.9345,3.755,3.6581,3.6268,3.6687,3.8271,3.9851,4.1346,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Final Energy|Electricity,EJ/yr,8.7628,8.9504,9.0218,9.0689,8.607,9.0361,8.9094,8.9404,8.8586,8.674,8.8218,8.9343,9.0236,9.0368,8.9455,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Final Energy|Electricity,EJ/yr,10.0181,10.1932,10.2518,10.2995,9.7653,10.2204,10.0541,10.0867,9.9974,9.7646,9.9147,10.0292,10.1024,10.116,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Final Energy|Gases,EJ/yr,9.6317,9.45,9.0307,9.1667,8.5847,9.3956,8.6643,8.8804,9.0793,8.1089,8.3727,8.6942,8.7548,8.7724,8.6327,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Final Energy|Gases,EJ/yr,11.7261,11.4434,10.9223,11.1156,10.3555,11.3519,10.2899,10.6527,10.8736,9.64,9.9603,10.3241,10.3483,10.4263,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Final Energy|Gases|Biomass,EJ/yr,0.0225,0.0257,0.0337,0.0362,0.0447,0.0577,0.0657,0.0721,0.0831,0.0905,0.095,0.1029,0.1073,0.1045,0.1073,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Final Energy|Gases|Biomass,EJ/yr,0.0251,0.0279,0.0362,0.0387,0.0472,0.0605,0.069,0.0755,0.0868,0.0951,0.0997,0.1105,0.1138,0.1127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Final Energy|Gases|Fossil,EJ/yr,9.6092,9.4243,8.997,9.1304,8.54,9.338,8.5985,8.8083,8.9962,8.0183,8.2778,8.5913,8.6475,8.668,8.5254,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Final Energy|Gases|Fossil,EJ/yr,11.701,11.4155,10.8861,11.0769,10.3083,11.2914,10.2209,10.5772,10.7868,9.5449,9.8606,10.2136,10.2345,10.3136,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Final Energy|Heat,EJ/yr,2.221,2.193,2.1085,2.1516,2.1388,2.3412,2.2173,2.2934,2.3157,2.1972,2.2497,2.3653,2.542,2.5266,2.5599,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Final Energy|Heat,EJ/yr,2.2753,2.2467,2.1664,2.2144,2.1913,2.3971,2.2721,2.35,2.3746,2.2554,2.35,2.4659,2.642,2.6273,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Final Energy|Industry,EJ/yr,11.5098,11.2988,11.5054,11.12,9.6126,10.1998,10.2347,10.045,9.9176,9.7828,9.766,9.8925,10.0274,10.1502,10.0094,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Final Energy|Industry,EJ/yr,12.7828,12.5381,12.7222,12.3121,10.6295,11.2722,11.2378,11.0251,10.9128,10.745,10.7288,10.7821,10.9322,11.0502,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Final Energy|Liquids,EJ/yr,24.7746,25.0006,24.6825,24.6169,23.1522,23.267,22.777,21.9533,21.5011,21.3936,21.5434,21.8589,22.4432,22.45,22.5218,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27 & UK,Final Energy|Liquids,EJ/yr,28.0871,28.3265,27.9481,27.7884,26.1778,26.2548,25.7008,24.805,24.3245,24.2421,24.4594,24.834,25.4682,25.4539,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
reference,Eurostat,EU27,Final Energy|Liquids|Biomass,EJ/yr,0.1369,0.2288,0.3206,0.3917,0.4626,0.5209,0.5418,0.5765,0.5142,0.556,0.5566,0.5517,0.6048,0.6727,0.6959,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA
